rango;ENVASES_t;DDD_T;PRECIO_T;AS;VALOR;POB_TOTAL;total POBLACION;POBLACION CONSUMIDORA;PREVALENCIA;PREVALENCIA_Calculada;Total_ENVASES_Rango;Total_DDD_T_Rango;Total_PRECIO_T_Rango;Total_POB_TOTAL_Rango
De 0 a 14;18324;88326,5614;84933,04;AS V: Cáceres;32,27401696;7498;8347;2524;30,23840901;33,66230995;120038;863853,909;930866,9;46637
De 15 a 64;22636;194854,8255;184927,39;AS V: Cáceres;4,582668803;116493;108534;35232;32,46171707;30,24387731;143060;868331,3622;847000,87;665395
De 65 a 74;35141;285327,7648;312576,9;AS V: Cáceres;32,90759434;23755;17827;7306;40,98277893;30,75563039;197875;1543102,101;1987639,92;126768
De 75 más;77001;709975,1376;566384,26;AS V: Cáceres;59,46795571;32709;27618;12997;47,05988848;39,73524107;468716;4296571,493;3570368,51;184269
TOTAL J01;153102;1278484,289;1148821,59;AS V: Cáceres;19,41036094;180455;162326;58059;35,7669135;32,17367211;929689;7571858,865;7335876,2;1023069
De 0 a 14;4424;22880,1664;22209,06;AS VI: Coria;41,76241665;1501;8347;2524;30,23840901;168,1545636;120038;863853,909;930866,9;46637
De 15 a 64;5604;47707,66636;46996,17;AS VI: Coria;5,226773912;25007;108534;35232;32,46171707;140,8885512;143060;868331,3622;847000,87;665395
De 65 a 74;9943;81031,44857;91886,65;AS VI: Coria;35,89973621;6184;17827;7306;40,98277893;118,1435964;197875;1543102,101;1987639,92;126768
De 75 más;17216;156275,9752;125891,42;AS VI: Coria;52,34148614;8180;27618;12997;47,05988848;158,8875306;468716;4296571,493;3570368,51;184269
TOTAL J01;37187;307895,2565;286983,3;AS VI: Coria;20,63879056;40872;162326;58059;35,7669135;142,0507927;929689;7571858,865;7335876,2;1023069
De 0 a 14;20422;174619,3807;203105,03;AS III: Don Benito;80,73055386;5926;8347;2524;30,23840901;42,5919676;120038;863853,909;930866,9;46637
De 15 a 64;21552;105902,1864;104422,68;AS III: Don Benito;3,470734313;83597;108534;35232;32,46171707;42,14505305;143060;868331,3622;847000,87;665395
De 65 a 74;31616;242345,3319;364486,34;AS III: Don Benito;39,47442411;16820;17827;7306;40,98277893;43,43638526;197875;1543102,101;1987639,92;126768
De 75 más;75686;697051,7827;604351,68;AS III: Don Benito;77,79578423;24548;27618;12997;47,05988848;52,94525012;468716;4296571,493;3570368,51;184269
TOTAL J01;149276;1219918,682;1276365,73;AS III: Don Benito;25,53455137;130891;162326;58059;35,7669135;44,35675486;929689;7571858,865;7335876,2;1023069
De 0 a 14;15283;119101,2489;129560;AS IV: Llerena - Zafra;81,65785574;3996;8347;2524;30,23840901;63,16316316;120038;863853,909;930866,9;46637
De 15 a 64;17172;82861,74915;90180,51;AS IV: Llerena - Zafra;3,724056608;60960;108534;35232;32,46171707;57,79527559;143060;868331,3622;847000,87;665395
De 65 a 74;26454;190705,4854;258711,15;AS IV: Llerena - Zafra;43,47847067;12017;17827;7306;40,98277893;60,79720396;197875;1543102,101;1987639,92;126768
De 75 más;52542;464362,2593;408860,54;AS IV: Llerena - Zafra;71,98695003;17673;27618;12997;47,05988848;73,54156057;468716;4296571,493;3570368,51;184269
TOTAL J01;111451;857030,7428;887312,2;AS IV: Llerena - Zafra;24,80854376;94646;162326;58059;35,7669135;61,34332143;929689;7571858,865;7335876,2;1023069
De 0 a 14;18091;152686,3604;178335,44;AS II: Mérida;50,00224666;8366;8366;2526;30,19364093;30,19364093;120038;863853,909;930866,9;46637
